Turkish,English
maalesef,Unfortunately
orta,middle
fikrin,the idea of
oradaki,over there
benzer,similar
kiminle,with whom
tavsiye,recommendation
çalışıyordum,I was working
rachel,rachel
alalım,let's get it
farkındayım,I am aware
canını,dearly
itibaren,from
hayalet,ghost
sıradaki,Next
pazar,Sunday
hayatımda,in my life
doğu,East
yaptığımız,we are doing
yaparken,while
değilmiş,have not been
çıplak,naked
der,ter
walter,walter
mücadele,struggle
görüşmek,to meet
kör,blind
kardeşi,brother
üzüldüm,I'm upset
yapamazsın,You can not
şimdiden,already
oynamak,play
kitabı,book
idare,administration
cesur,brave
dönüyor,it is turning
silahını,weapon
buradayız,we are here
İnanılmaz,Incredible
bunca,all this
bebeği,his baby
veremem,can not give
enerji,energy
top,ball
bağlantı,connection
savunma,defense
hangisi,which
hissettim,felt
anlaşılan,apperantly
andy,andy
ihanet,betrayal
sayılır,sort of
sinir,boundary
yasal,legal
yapılan,conducted
merkezi,central
yapıp,do
çalıştı,worked
hatırladın,you remembered
umut,hope
suçu,water seller
edilmiş,besides
söylemiş,told
biriydi,It was one of the
okulda,at school
gördü,he saw
neymiş,nay
unuttum,I forgot
jerry,Jerry
şeylerin,of things
görüyorsun,you see
sağlık,health
annemi,my mother
ün,Fame
bırakmak,To leave
sizce,what do you think
barış,peace
cuma,Friday
girecek,will enter
yapmamı,to do that
eee,eee
uzay,space
yaparsın,you make it
ödeme,payment
yıllık,yearly
edeceksin,you will be on
topu,ball
san,singing
açıkçası,frankly
kar,snow
olacaktı,would be to be
vermeye,giving
filan,blasting
aşağıya,down
şeydi,was the thing
söylediği,that she says
ettiler,they have mettled
kırıklığına,frustrated
numarası,its number
istemiştim,I have asked for
bilirim,I know
sistemi,system
scott,scott
claire,claire
yapacağını,will
doğruyu,truth
emir,order
alakası,relevant
nihayet,finally
kazanmak,to win
iz,trace
onca,on
los,loess
vereyim,let me give
demiştin,you said
mahkeme,court
nasıi,nasi
konuşmam,I don't talk
gözden,review
uyuyor,sleeping
düşman,enemy
olmaktan,from being
yapıyorlar,They are doing
konuşuyorsun,you are talking
bulunan,found
düşündün,you thought
çıkarın,remove
yıllardır,for years
eline,on
göremiyorum,I can not see
İçinde,In
İngiltere,Britain
hayatının,your life
baskı,oppression
akıl,mind
şirket,company
hepimizin,all of us
sus,shush
kızla,daughter
gerekirdi,were required
çalıştığını,that you are working
sonuç,conclusion
bizde,us
çıkın,exit
sanat,art
söyleyebilirim,I can say
söylemedi,did not say
içeride,inside
nazik,kind
parası,money
başlangıç,beginning
binbaşı,major
kurşun,bullet
baktım,I looked
öldüğünü,that you die
nedenle,reason
yarar,benefit
doğrusu,actually
prenses,Princess
batı,West
arabada,In the car
otel,hotel
boşa,wasted
kalıyor,staying
boktan,shitty
tavuk,chicken
jason,jason
vermeyeceğim,I will not give
parlak,shiny
lisa,lisa
banka,Bank
hay,hare
peşinden,after
sevdiğini,liking
duygusal,emotional
karışık,mixed
vermiş,gave
alma,taking
vahşi,wild
konuşmamız,our talk
insanı,human
yüzde,percent
di,di
bulmuş,found
çirkin,ugly
bulundu,found
fransız,French
kyle,kyle
pete,pete
çıkış,exit
kilo,weight
dokunma,Do not touch
sakıncası,mind
dahi,genius
söylediğin,that you have said
yangın,fire
yolculuk,trip
dönerim,my turn
etrafında,around
tanışmak,meet
sosyal,social
luke,luke
ameliyat,operation
çıkarmak,eject
geçirdim,spent
ilişki,relationship
girin,enter
işimiz,our business
şeylere,to things
kredi,credit
çıkacak,will come out
kamera,camera
olduğumuz,we are
olsaydım,If I were
üstelik,Besides
İç,Internal
çalışmaya,to work
bulacağım,I will find it
şansımız,our chances
thomas,thomas
istiyordum,I wanted
birisin,you're someone
gönderdi,sent
unuttun,you forgot
elektrik,electric
başarısız,unsuccessful
tv,TV
and,and
ni,ni
eğitim,education
öğleden,the afternoon
onda,tenth
yüzüne,face
madam,madam
acayip,strange
kalma,stay
İkiniz,The two of you
ulusal,National
gösteri,show
şehirde,in the city
söylesene,tell me
İnan,Believe
değişti,changed
zamanımız,our time
tespit,detection
fransa,France
yukarıda,above
sevimli,pleasant
duruma,situation
varken,while there is
şansın,your luck
bunda,in
aniden,abruptly
olmanın,ing
şehri,city
getirmek,to bring
param,my money
ortasında,in the middle of
geçirmek,put in
degil,not
gene,again
inşa,construction
yalancı,liar
tanık,witness
emri,order
kadınla,woman
emily,emily
koruma,protection
cesaret,bravery
attı,threw
öldür,kill
cumartesi,Saturday
gecesi,night
alice,alice
mutlaka,definitely
televizyon,TV
saç,hair
olmanı,have
clark,clark
genel,general
varım,I'm in
söylediğini,told
angeles,angeles
dediğini,saying that
yaparız,we do
öldürüldü,killed
şirketi,company
fikri,idea
çekip,pull-out
kalır,remain
kokuyor,smells
söyleyebilir,can say
şerefe,Cheers
ailen,familiar
intihar,suicide
getirdin,you have brought
arthur,arthur
eli,his hand
gecenin,of the night
öldürecek,will kill
edici,dentative
düşük,low
diyorlar,they say
ted,ted
aşkım,My love
ihtiyacınız,need
inanıyor,he believes
ed,ed
evime,to my house
gerçi,though
tadını,taste
almam,I don't take
teknik,technical
kimdi,who was
olmalıyım,I must be
gitmeye,gait
aramaya,in search of
korku,fear
bakar,looks at
iyisin,you are good
söyleyemem,I can not say
emma,sophistication
yerel,local
görevi,duty
buranın,Here
gitmemiz,we are to go
takımı,team
kendinizi,yourself
hatam,my mistake
ettiğin,ing
beyefendi,gentleman
kullan,use
tecavüz,rape
bilirsiniz,you know
nedenini,reason
yapılmış,made
şeyle,stuffy
etmesi,stewardous
tehlikeye,dangerous
dave,dave
carter,carter
ım,IM
cesedi,corpse
günlük,daily
olunca,unless
düşünmek,think
larry,larry
kalacağım,I will remain
örnek,sample
yoğun,busy
matt,matt
bakıyorsun,you are looking at
zamanın,your time
simon,Simon
oluyorum,I'm happening
annie,Annie
futbol,football
ülke,country
dediğin,that you say
tren,train
arayacağım,I will call
çiçek,flower
düşünüyorsunuz,you are thinking about
roma,Rome
çocuklara,to the children
yolun,of the road
planı,plan
pişman,regret
gideyim,let me go
tarih,Date
başlar,begins
yerin,ground
ediyordum,I was doing it
kahvaltı,breakfast
eh,eh
bulacağız,we will find
kaldın,you have left
kadına,to the woman
umurunda,careless
yapmayın,don't do it
konuşuruz,talking
tarihi,date
um,um
sonrasında,after that
avrupa,Europe
utanç,shame
arabanın,of the car.
hakkındaki,about
zorla,hardly
bilen,knowent
partisi,party
ceza,punishment
etmeliyiz,We have to meat
eğlence,entertainment
yatağa,To bed
inanmıyorum,I do not believe
kayboldu,lost
sevgi,love
çekmek,to pull
demedim,I didn't say that
başını,head
gelirim,my income
şehrin,the city's
tepki,reaction
yaptınız,you have done
ölecek,it will die
durma,stop
tanesi,gross
geliyorlar,they are coming
taksi,taxi
nerden,from where
öldüreceğim,I will kill it
chuck,chuck
bizler,us
müsaade,permit
boyu,length
ucuz,cheap
oy,vote
gidebilir,can go
vermem,I do not give
anahtarı,wrench
ihtimalle,oddly
washington,Washington
gören,visious
araç,vehicle
edersen,If you say
pes,pes
koç,RAM
endişe,anxiety
it,pitch
etmelisin,You should make it
derler,they say
oluruz,we become
gitmiyor,it doesn't go
rol,role
içindeki,in
açıkça,clearly
hissediyorsun,you feel
karşılık,opposite
ordu,army
İşler,Works
etkileyici,influential
ekibi,team
servis,service
önümüzdeki,ahead
olabilirdi,could have been
muyuz,are we on
sürer,takes
öyledir,It is so
kraliçe,Queen
yılda,per year
düşünmüyorum,I don't think about it
mıydın,were you?
havalı,airy
paraya,money
devlet,state
tanımıyorum,I do not know
yat,sleep
sordum,I asked
hayata,To life
kullanmak,to use
lucy,lucy
dev,giant
ekip,team
william,william
sendin,you are you
elbise,dress
yirmi,twenty
dersiniz,Your lesson
hiçbiri,none
heyecan,excitement
pahalı,expensive
İmdat,Help
getireyim,let me bring
İstersen,If you want
sean,sean
emredersiniz,"Yes, sir"
sefere,expedition
büyü,spell
bil,know
fikrini,your mind
yaşıyorum,I live
kullanıyor,uses
tim,team
lar,s
etmiyorum,I do not
sürtük,slut
huzur,peace
sokak,Street
öncelikle,Firstly
yakaladım,I caught
usta,expert
üstü,above
eşlik,accompaniment
verdik,we have gave
aksi,opposite
kimsiniz,who are you
derecede,pertinent
gaz,gas
şeylerden,out of things
keresinde,at
denen,tried
yapmalıyız,We have to do
giderim,I will go
genellikle,Generally
verebilir,can give
üyesi,member of
ailenin,of the family
çalışıyordu,he was working
insanlarla,with people
isterseniz,If you want
alakalı,relevant
görünce,seeing
silahlı,armed
kaba,rude
giderken,on the way to
yapılacak,to do
olmasa,not
gizlice,secretly
dert,trouble
gördüğün,you see
hastanede,at hospital
saati,clock
profesyonel,professional
ilgi,interest
yardımı,assistance
bakıyor,looking
kendisine,to herself
lord,lord
vurdu,struck
karşılığında,in exchange for
denedim,I've tried
bulup,finding
şansım,my luck
anahtar,key
iddia,allegation
halt,halt
ödünç,on loan
okuldan,from school
aklına,to your mind
dediğimi,that I say
derdi,It would say
to,to
sezon,season
meselesi,issue
yapması,doing
şişe,bottle
romantik,romantic
kıçını,asshole
sağlıklı,healthy
adalet,Justice
ödül,prize
çocuğum,my child
dahaki,next
maria,maria
düşündüğüm,I have been thinking about
efendi,master
çocuğa,to the boy
kaldık,we were staying
c,c
telefonda,on the phone
istemez,do not want
ölümü,death
götürün,take
onur,honour
fahişe,whore
girerim,my entry
geliyorsun,You're coming
eksik,missing
çocukken,As I was a child
aşağılık,Despicable
verdiğin,that you give
bari,at least
günlerde,in days
veda,farewell
gözüküyor,it seems
şuradaki,in
arabası,car
güzelmiş,it's nice
joey,joey
işimi,my job
ayakta,on foot
öldüren,killing
görebiliyorum,I can see
kağıt,paper
adamsın,You are the man
mısır,sweetcorn
leo,leo
buyur,there you go
bileyim,let me know
yahudi,Jewish
ü,ü
anneme,to my mom
şüphe,suspicion
etmeliyim,I have to meat
yasak,forbidden
istemezsin,you don't want to
içmek,to drink
harikaydı,It was great
izlemek,to watch
benimki,mine
öğrenci,student
fiziksel,physically
atmak,to throw
saf,pure
diş,tooth
jeff,jeff
yahu,yahu
neresi,where
kalıp,pattern
gerçekte,in reality
sorabilir,can ask
yapabileceğim,I can do
söyleyen,saying
öyleydi,it was
bekliyorsun,you are waiting for
tanıdığım,I have known
olmuştur,has been
carl,carl
bıçak,knife
olağanüstü,extraordinary
İşi,Heat
süt,milk
riske,risky
kendinden,self
babasının,father's
kelly,kelly
çıkma,emergence
birinde,in one
ediyordu,he was making it
okudum,I read
kartı,card
rus,Russian
gelmişti,he had arrived
annemle,with my mom
iletişim,Contact
bildiğin,that you know
ayı,bear
hakkı,right
seyahat,trip
â,â
hayir,No
nokta,point
değilsiniz,you are not
adamların,your guys
tıbbi,medical
dışına,outside
başta,first
tıp,medicine
olmazsa,If not
serseri,Rascal
İngilizce,The English
gücünü,foster
İkisi,The two
his,feeling
anlamıyorsun,you do not understand
tanıştığımıza,to meet
kararı,decision
mr.,mr.
km,km
geniş,Large
boşver,Nevermind
döndüm,I'm back
hmm,hmm
ismini,your name
uyku,sleep
evlenmek,to marry
çeviren,translating
tuzak,trap
kanı,blood
kızıl,Red
evim,my home
geldiler,they came
odaya,in the room
afrika,Africa
gelmeden,without coming
prens,prince
zamanım,my time
görmüştüm,I had seen
tarafında,on the side of
bölümü,division
yardımcısı,assistant
haberim,illustrative
anlattı,told
sarı,yellow
sahne,scene
dost,friend
çöp,rubbish
temel,basis
kızları,daughter
kullanarak,using
yara,wound
hele,stewardous
sanıyor,he thinks
yanı,well
okulu,school
gelsin,let it come
seviyorsun,you love
federal,federal
kapıdan,from the door
mil,shaft
amına,cunt
geceleri,at night
kalbi,heartland
duydunuz,you have heard of
aldığını,that you have received
gördüğüme,see
abby,abby
almayı,receiving
gitmeden,without going
üzücü,sad
ettiniz,you have tipped
kilometre,kilometer
geldiği,inherent
kuralları,rules
andan,at
gör,see
alışveriş,shopping
hakkımda,about me
hemşire,nurse
yumurta,egg
bahsediyorum,I'm talking about
geceyi,night
rose,rose
birbirine,each other
kendilerini,themselves
arası,between
adi,First Name
louis,louis
phil,Phil
yapmaz,do not do
bırakma,leaving
bozuk,broken
li,li
ediyorsunuz,You are doing
hakim,judge
bardak,glass
babama,daddy
no,no
doğrudan,direct
geçici,temporary
meksika,Mexican
alanı,area
karmaşık,complicated
koyayım,I'll put it on
verdiğim,that I give
olduk,we were
yaşındaki,age-old
İçeride,Inside
yerlere,to places
görelim,see
bıktım,I am fed up
çıkıyorum,getting out
görünen,visible
derdin,you're about
olamazsın,you can't be
derim,myself
karşısında,opposite
kafanı,your head
susan,susan
sadık,loyal
üstesinden,overcome
söylemeliyim,I have to say
katı,thick
unutmayın,remember
gibidir,like this
toplantı,meeting
göze,to eye
arkadaşlarım,my friends
gözleri,eyes
kaybetti,lost
hükümet,government
dinlemek,to listen
jackson,jackson
geçerli,valid
dönün,turn
alacağız,we will get it
sevdiğin,your loved
nden,Why
basın,Press
hırsız,thief
haftada,per week
bakarım,I look
birisini,someone
çalışırken,While working
anı,moment
diğeri,other
yaş,age
atış,shot
hafif,light
kutu,box
etsin,you meat
sipariş,order
çıktım,I got out
gelene,inappropriate
anlatmak,tell
programı,program
jenny,Jenny
sizde,ing
bas,top
öldürdüm,I have killed
kişiler,persons
yetişkin,adult
kendimizi,ourselves
olmazdı,would not be
ekmek,bread
takdir,discretion
olduğunun,that you are
sanıyorum,i think i'm
sola,left
İlginç,Interesting
yardımına,to the help of
söylüyorlar,they say
roger,Roger
afedersin,pardon
birliği,unity
grace,grace
tanrıya,to God
vermiyor,does not give
içerisinde,inside
ilgilendirmez,nor
korkuyor,is afraid of
bitmedi,not over
edemezsin,You cannot
çekti,pulled
tip,medicine
tak,plug
tehlike,danger
dean,dean
içinden,through
hastalık,disease
görünmüyor,does not appear
sizler,you
çıkalım,let's get out of
hiçbirşey,nothing
bunlara,to these
etmedi,did not make
partiye,party
olmadığına,that
sonrası,post-
dediği,that she says
farkına,aware
hassas,sensitive
dolarlık,dollar
verdiler,they gave
hissediyor,feels
oğlun,your son
bakacağım,I will look at
ateşi,fire
çıkardın,you have taken out
edebilirsin,you can be that you can
kaybettik,we lost
olmalıyız,we must be
göreceksin,you will see
buldunuz,you have found
hayatında,in your life
göreceğiz,We'll see
şehre,to the city
çekiyor,he is attracting
telefonunu,your phone
başım,head
adımı,step
olduğunuz,that you are
sürdü,drove
yaptıklarını,that they are doing
gündür,is the day
gönder,send
halk,people
neredeydin,where have you been
randevu,meeting
etmen,factor
şok,shock
anlamıyor,does not understand
kalbim,my heart
kişilik,personality
julia,julia
gidebilirsin,you can go
ölen,dying
başlamak,to start
soruyorum,I ask the
göstereceğim,I'll show
günden,from the day
biter,ends
faydası,benefit
annene,to your mother
belediye,Council
kafasını,his head
bedava,free
kontrolü,controlling
şeydir,It is Thing
video,video
görmemiştim,I haven't seen it
işkence,torture
yapmıyorum,I'm not doing it
olmaması,lack of
cia,cia
ler,s
maggie,maggie
yaşa,law
önceydi,It was before
konuştun,you talked to
yumuşak,soft
haberler,news
yüzü,face
kokusu,scent
cam,pine
nakit,cash
açıklama,explanation
kafası,head
aslına,inherently
yılın,of the year.
gelirse,If it comes
inan,believe
değişiklik,change
biliyordun,you knew
aldığım,I have received
banyo,bath
kıpırdama,shoveling
etmedim,I didn't make it
josh,josh
vaktim,my time
taze,fresh
paramı,my money
köpeği,dog
karen,karen
kafana,headyard
düşündüğünü,that you think of
yaparsan,If you do
tanıyorsun,you know
delik,hole
izleri,traces
aber,ABER
sürede,in time
aynısını,the same
üzerindeki,on you
etkisi,impact
sevdiği,love
amerikalı,American
kafam,my head
kaltak,bitch
düşünüyoruz,we think of
taki,gift of jewelry
korkma,do not be afraid
olmalısınız,you must be
kirli,dirty
gideceksin,you'll go to
taylor,taylor
temsil,representation
bulun,find
duyduğuma,to hear
howard,howard
grubu,group
bişey,biskey
im,im
katılıyorum,I agree
sağa,right
suya,water
çılgınca,crazy
mutluluk,happiness
komutan,commander
lily,lily
ağaç,tree
gizemli,mysterious
seven,loving
komiser,commissioner
smith,smith
biriyim,I am
ateşli,hot
istiyordu,he wanted to
girmiş,entered
kalbini,your heart
alacaksın,you'll get it
bendim,it was me
göstereyim,Let me show you
jackie,jackie
gerekmez,not necessary
nathan,nathan
dış,teeth
şirin,cute
yapmalıyım,I have to do
getirir,brings
testi,test
gerektiği,necessary
morgan,morgan
bildiğini,that
yapıyordum,I was doing it
açığa,exposed
koyun,sheep
ağzını,mouth
kurtarmaya,rescue
aklından,out of mind
pizza,pizza
babanı,your father
ederek,by
gergin,Moody
aydır,is the month
İnsanları,People
aramak,to search
heyecanlı,excited
taraf,side
tahliye,evacuation
cehennem,hell
anneni,Your mom
buçuk,half
bakarsan,If you look at
durdur,stop
geldiğin,that you come
fırsatı,opportunity
yavaşça,slowly
yazı,writing
planın,your plan
arayan,caller
elimi,my hand
nı,ni
haberin,your news
çalışmıyor,not working
